U+20000 	𠀀
U+20001 	𠀁
U+20002 	𠀂
U+20003 	𠀃
U+20004 	𠀄
U+20005 	𠀅
U+20006 	𠀆
U+20007 	𠀇
U+20008 	𠀈
U+20009 	𠀉
U+2000A 	𠀊
U+2000B 	𠀋
U+2000C 	𠀌
U+2000D 	𠀍
U+2000E 	𠀎
U+2000F 	𠀏
U+20010 	𠀐
U+20011 	𠀑
U+20012 	𠀒
U+20013 	𠀓
U+20014 	𠀔
U+20015 	𠀕
U+20016 	𠀖
U+20017 	𠀗
U+20018 	𠀘
U+20019 	𠀙
U+2001A 	𠀚
U+2001B 	𠀛
U+2001C 	𠀜
U+2001D 	𠀝
U+2001E 	𠀞
U+2001F 	𠀟
U+20020 	𠀠
U+20021 	𠀡
U+20022 	𠀢
U+20023 	𠀣
U+20024 	𠀤
U+20025 	𠀥
U+20026 	𠀦
U+20027 	𠀧
U+20028 	𠀨
U+20029 	𠀩
U+2002A 	𠀪
U+2002B 	𠀫
U+2002C 	𠀬
U+2002D 	𠀭
U+2002E 	𠀮
U+2002F 	𠀯
U+20030 	𠀰
U+20031 	𠀱
U+20032 	𠀲
U+20033 	𠀳
U+20034 	𠀴
U+20035 	𠀵
U+20036 	𠀶
U+20037 	𠀷
U+20038 	𠀸
U+20039 	𠀹
U+2003A 	𠀺
U+2003B 	𠀻
U+2003C 	𠀼
U+2003D 	𠀽
U+2003E 	𠀾
U+2003F 	𠀿
U+20040 	𠁀
U+20041 	𠁁
U+20042 	𠁂
U+20043 	𠁃
U+20044 	𠁄
U+20045 	𠁅
U+20046 	𠁆
U+20047 	𠁇
U+20048 	𠁈
U+20049 	𠁉
U+2004A 	𠁊
U+2004B 	𠁋
U+2004C 	𠁌
U+2004D 	𠁍
U+2004E 	𠁎
U+2004F 	𠁏
U+20050 	𠁐
U+20051 	𠁑
U+20052 	𠁒
U+20053 	𠁓
U+20054 	𠁔
U+20055 	𠁕
U+20056 	𠁖
U+20057 	𠁗
U+20058 	𠁘
U+20059 	𠁙
U+2005A 	𠁚
U+2005B 	𠁛
U+2005C 	𠁜
U+2005D 	𠁝
U+2005E 	𠁞
U+2005F 	𠁟
U+20060 	𠁠
U+20061 	𠁡
U+20062 	𠁢
U+20063 	𠁣
U+20064 	𠁤
U+20065 	𠁥
U+20066 	𠁦
U+20067 	𠁧
U+20068 	𠁨
U+20069 	𠁩
U+2006A 	𠁪
U+2006B 	𠁫
U+2006C 	𠁬
U+2006D 	𠁭
U+2006E 	𠁮
U+2006F 	𠁯
U+20070 	𠁰
U+20071 	𠁱
U+20072 	𠁲
U+20073 	𠁳
U+20074 	𠁴
U+20075 	𠁵
U+20076 	𠁶
U+20077 	𠁷
U+20078 	𠁸
U+20079 	𠁹
U+2007A 	𠁺
U+2007B 	𠁻
U+2007C 	𠁼
U+2007D 	𠁽
U+2007E 	𠁾
U+2007F 	𠁿
U+20080 	𠂀
U+20081 	𠂁
U+20082 	𠂂
U+20083 	𠂃
U+20084 	𠂄
U+20085 	𠂅
U+20086 	𠂆
U+20087 	𠂇
U+20088 	𠂈
U+20089 	𠂉
U+2008A 	𠂊
U+2008B 	𠂋
U+2008C 	𠂌
U+2008D 	𠂍
U+2008E 	𠂎
U+2008F 	𠂏
U+20090 	𠂐
U+20091 	𠂑
U+20092 	𠂒
U+20093 	𠂓
U+20094 	𠂔
U+20095 	𠂕
U+20096 	𠂖
U+20097 	𠂗
U+20098 	𠂘
U+20099 	𠂙
U+2009A 	𠂚
U+2009B 	𠂛
U+2009C 	𠂜
U+2009D 	𠂝
U+2009E 	𠂞
U+2009F 	𠂟
U+200A0 	𠂠
U+200A1 	𠂡
U+200A2 	𠂢
U+200A3 	𠂣
U+200A4 	𠂤
U+200A5 	𠂥
U+200A6 	𠂦
U+200A7 	𠂧
U+200A8 	𠂨
U+200A9 	𠂩
U+200AA 	𠂪
U+200AB 	𠂫
U+200AC 	𠂬
