U+2A700 	𪜀
U+2A701 	𪜁
U+2A702 	𪜂
U+2A703 	𪜃
U+2A704 	𪜄
U+2A705 	𪜅
U+2A706 	𪜆
U+2A707 	𪜇
U+2A708 	𪜈
U+2A709 	𪜉
U+2A70A 	𪜊
U+2A70B 	𪜋
U+2A70C 	𪜌
U+2A70D 	𪜍
U+2A70E 	𪜎
U+2A70F 	𪜏
U+2A710 	𪜐
U+2A711 	𪜑
U+2A712 	𪜒
U+2A713 	𪜓
U+2A714 	𪜔
U+2A715 	𪜕
U+2A716 	𪜖
U+2A717 	𪜗
U+2A718 	𪜘
U+2A719 	𪜙
U+2A71A 	𪜚
U+2A71B 	𪜛
U+2A71C 	𪜜
U+2A71D 	𪜝
U+2A71E 	𪜞
U+2A71F 	𪜟
U+2A720 	𪜠
U+2A721 	𪜡
U+2A722 	𪜢
U+2A723 	𪜣
U+2A724 	𪜤
U+2A725 	𪜥
U+2A726 	𪜦
U+2A727 	𪜧
U+2A728 	𪜨
U+2A729 	𪜩
U+2A72A 	𪜪
U+2A72B 	𪜫
U+2A72C 	𪜬
U+2A72D 	𪜭
U+2A72E 	𪜮
U+2A72F 	𪜯
U+2A730 	𪜰
U+2A731 	𪜱
U+2A732 	𪜲
U+2A733 	𪜳
U+2A734 	𪜴
U+2A735 	𪜵
U+2A736 	𪜶
U+2A737 	𪜷
U+2A738 	𪜸
U+2A739 	𪜹
U+2A73A 	𪜺
U+2A73B 	𪜻
U+2A73C 	𪜼
U+2A73D 	𪜽
U+2A73E 	𪜾
U+2A73F 	𪜿
U+2A740 	𪝀
U+2A741 	𪝁
U+2A742 	𪝂
U+2A743 	𪝃
U+2A744 	𪝄
U+2A745 	𪝅
U+2A746 	𪝆
U+2A747 	𪝇
U+2A748 	𪝈
U+2A749 	𪝉
U+2A74A 	𪝊
U+2A74B 	𪝋
U+2A74C 	𪝌
U+2A74D 	𪝍
U+2A74E 	𪝎
U+2A74F 	𪝏
U+2A750 	𪝐
U+2A751 	𪝑
U+2A752 	𪝒
U+2A753 	𪝓
U+2A754 	𪝔
U+2A755 	𪝕
