U+2F800	丽
U+2F801	丸
U+2F802	乁
U+2F803	𠄢
U+2F804	你
U+2F805	侮
U+2F806	侻
U+2F807	倂
U+2F808	偺
U+2F809	備
U+2F80A	僧
U+2F80B	像
U+2F80C	㒞
U+2F80D	𠘺
U+2F80E	免
U+2F80F	兔
U+2F810	兤
U+2F811	具
U+2F812	𠔜
U+2F813	㒹
U+2F814	內
U+2F815	再
U+2F816	𠕋
U+2F817	冗
U+2F818	冤
U+2F819	仌
U+2F81A	冬
U+2F81B	况
U+2F81C	𩇟
U+2F81D	凵
U+2F81E	刃
U+2F81F	㓟
U+2F820	刻
U+2F821	剆
U+2F822	割
U+2F823	剷
U+2F824	㔕
U+2F825	勇
U+2F826	勉
U+2F827	勤
U+2F828	勺
U+2F829	包
U+2F82A	匆
U+2F82B	北
U+2F82C	卉
U+2F82D	卑
U+2F82E	博
U+2F82F	即
U+2F830	卽
U+2F831	卿
U+2F832	卿
U+2F833	卿
U+2F834	𠨬
U+2F835	灰
U+2F836	及
U+2F837	叟
U+2F838	𠭣
U+2F839	叫
U+2F83A	叱
U+2F83B	吆
U+2F83C	咞
U+2F83D	吸
U+2F83E	呈
U+2F83F	周
U+2F840	咢
U+2F841	哶
U+2F842	唐
U+2F843	啓
U+2F844	啣
U+2F845	善
U+2F846	善
U+2F847	喙
U+2F848	喫
U+2F849	喳
U+2F84A	嗂
U+2F84B	圖
U+2F84C	嘆
U+2F84D	圗
U+2F84E	噑
U+2F84F	噴
U+2F850	切
U+2F851	壮
U+2F852	城
U+2F853	埴
U+2F854	堍
U+2F855	型
U+2F856	堲
U+2F857	報
U+2F858	墬
U+2F859	𡓤
U+2F85A	売
U+2F85B	壷
U+2F85C	夆
U+2F85D	多
U+2F85E	夢
U+2F85F	奢
U+2F860	𡚨
U+2F861	𡛪
U+2F862	姬
U+2F863	娛
U+2F864	娧
U+2F865	姘
U+2F866	婦
U+2F867	㛮
U+2F868	㛼
U+2F869	嬈
U+2F86A	嬾
U+2F86B	嬾
U+2F86C	𡧈
U+2F86D	寃
