U+2B820 	𫠠
U+2B821 	𫠡
U+2B822 	𫠢
U+2B823 	𫠣
U+2B824 	𫠤
U+2B825 	𫠥
U+2B826 	𫠦
U+2B827 	𫠧
U+2B828 	𫠨
U+2B829 	𫠩
U+2B82A 	𫠪
U+2B82B 	𫠫
U+2B82C 	𫠬
U+2B82D 	𫠭
U+2B82E 	𫠮
U+2B82F 	𫠯
U+2B830 	𫠰
U+2B831 	𫠱
U+2B832 	𫠲
U+2B833 	𫠳
U+2B834 	𫠴
U+2B835 	𫠵
U+2B836 	𫠶
U+2B837 	𫠷
U+2B838 	𫠸
U+2B839 	𫠹
U+2B83A 	𫠺
U+2B83B 	𫠻
U+2B83C 	𫠼
U+2B83D 	𫠽
U+2B83E 	𫠾
U+2B83F 	𫠿
U+2B840 	𫡀
U+2B841 	𫡁
U+2B842 	𫡂
U+2B843 	𫡃
U+2B844 	𫡄
U+2B845 	𫡅
U+2B846 	𫡆
U+2B847 	𫡇
U+2B848 	𫡈
U+2B849 	𫡉
U+2B84A 	𫡊
U+2B84B 	𫡋
U+2B84C 	𫡌
U+2B84D 	𫡍
U+2B84E 	𫡎
U+2B84F 	𫡏
U+2B850 	𫡐
U+2B851 	𫡑
U+2B852 	𫡒
U+2B853 	𫡓
U+2B854 	𫡔
U+2B855 	𫡕
U+2B856 	𫡖
U+2B857 	𫡗
U+2B858 	𫡘
U+2B859 	𫡙
U+2B85A 	𫡚
U+2B85B 	𫡛
U+2B85C 	𫡜
U+2B85D 	𫡝
U+2B85E 	𫡞
U+2B85F 	𫡟
U+2B860 	𫡠
U+2B861 	𫡡
U+2B862 	𫡢
U+2B863 	𫡣
U+2B864 	𫡤
U+2B865 	𫡥
U+2B866 	𫡦
U+2B867 	𫡧
U+2B868 	𫡨
U+2B869 	𫡩
U+2B86A 	𫡪
U+2B86B 	𫡫
U+2B86C 	𫡬
U+2B86D 	𫡭
U+2B86E 	𫡮
U+2B86F 	𫡯
U+2B870 	𫡰
U+2B871 	𫡱
U+2B872 	𫡲
U+2B873 	𫡳
U+2B874 	𫡴
U+2B875 	𫡵
U+2B876 	𫡶
U+2B877 	𫡷
U+2B878 	𫡸
U+2B879 	𫡹
U+2B87A 	𫡺
U+2B87B 	𫡻
U+2B87C 	𫡼
U+2B87D 	𫡽
U+2B87E 	𫡾
U+2B87F 	𫡿
U+2B880 	𫢀
U+2B881 	𫢁
U+2B882 	𫢂
U+2B883 	𫢃
U+2B884 	𫢄
U+2B885 	𫢅
U+2B886 	𫢆
U+2B887 	𫢇
U+2B888 	𫢈
U+2B889 	𫢉
U+2B88A 	𫢊
U+2B88B 	𫢋
U+2B88C 	𫢌
U+2B88D 	𫢍
U+2B88E 	𫢎
U+2B88F 	𫢏
U+2B890 	𫢐
U+2B891 	𫢑
U+2B892 	𫢒
U+2B893 	𫢓
U+2B894 	𫢔
U+2B895 	𫢕
U+2B896 	𫢖
U+2B897 	𫢗
U+2B898 	𫢘
U+2B899 	𫢙
U+2B89A 	𫢚
U+2B89B 	𫢛
U+2B89C 	𫢜
U+2B89D 	𫢝
U+2B89E 	𫢞
U+2B89F 	𫢟
U+2B8A0 	𫢠
U+2B8A1 	𫢡
U+2B8A2 	𫢢
U+2B8A3 	𫢣
U+2B8A4 	𫢤
U+2B8A5 	𫢥
U+2B8A6 	𫢦
U+2B8A7 	𫢧
U+2B8A8 	𫢨
U+2B8A9 	𫢩
U+2B8AA 	𫢪
U+2B8AB 	𫢫
U+2B8AC 	𫢬
U+2B8AD 	𫢭
U+2B8AE 	𫢮
U+2B8AF 	𫢯
U+2B8B0 	𫢰
U+2B8B1 	𫢱
U+2B8B2 	𫢲
U+2B8B3 	𫢳
U+2B8B4 	𫢴
U+2B8B5 	𫢵
U+2B8B6 	𫢶
U+2B8B7 	𫢷
U+2B8B8 	𫢸
U+2B8B9 	𫢹
U+2B8BA 	𫢺
U+2B8BB 	𫢻
U+2B8BC 	𫢼
U+2B8BD 	𫢽
U+2B8BE 	𫢾
U+2B8BF 	𫢿
U+2B8C0 	𫣀
U+2B8C1 	𫣁
U+2B8C2 	𫣂
U+2B8C3 	𫣃
U+2B8C4 	𫣄
U+2B8C5 	𫣅
U+2B8C6 	𫣆
U+2B8C7 	𫣇
U+2B8C8 	𫣈
U+2B8C9 	𫣉
U+2B8CA 	𫣊
U+2B8CB 	𫣋
U+2B8CC 	𫣌
U+2B8CD 	𫣍
U+2B8CE 	𫣎
U+2B8CF 	𫣏
U+2B8D0 	𫣐
U+2B8D1 	𫣑
U+2B8D2 	𫣒
U+2B8D3 	𫣓
U+2B8D4 	𫣔
U+2B8D5 	𫣕
U+2B8D6 	𫣖
U+2B8D7 	𫣗
U+2B8D8 	𫣘
U+2B8D9 	𫣙
U+2B8DA 	𫣚
U+2B8DB 	𫣛
U+2B8DC 	𫣜
U+2B8DD 	𫣝
U+2B8DE 	𫣞
U+2B8DF 	𫣟
U+2B8E0 	𫣠
U+2B8E1 	𫣡
U+2B8E2 	𫣢
U+2B8E3 	𫣣
U+2B8E4 	𫣤
U+2B8E5 	𫣥
U+2B8E6 	𫣦
U+2B8E7 	𫣧
U+2B8E8 	𫣨
U+2B8E9 	𫣩
U+2B8EA 	𫣪
U+2B8EB 	𫣫
U+2B8EC 	𫣬
U+2B8ED 	𫣭
U+2B8EE 	𫣮
U+2B8EF 	𫣯
U+2B8F0 	𫣰
U+2B8F1 	𫣱
U+2B8F2 	𫣲
U+2B8F3 	𫣳
U+2B8F4 	𫣴
U+2B8F5 	𫣵
U+2B8F6 	𫣶
U+2B8F7 	𫣷
U+2B8F8 	𫣸
U+2B8F9 	𫣹
U+2B8FA 	𫣺
U+2B8FB 	𫣻
U+2B8FC 	𫣼
U+2B8FD 	𫣽
U+2B8FE 	𫣾
U+2B8FF 	𫣿
U+2B900 	𫤀
U+2B901 	𫤁
U+2B902 	𫤂
U+2B903 	𫤃
U+2B904 	𫤄
U+2B905 	𫤅
U+2B906 	𫤆
U+2B907 	𫤇
U+2B908 	𫤈
U+2B909 	𫤉
U+2B90A 	𫤊
U+2B90B 	𫤋
U+2B90C 	𫤌
U+2B90D 	𫤍
U+2B90E 	𫤎
U+2B90F 	𫤏
U+2B910 	𫤐
U+2B911 	𫤑
U+2B912 	𫤒
U+2B913 	𫤓
U+2B914 	𫤔
U+2B915 	𫤕
U+2B916 	𫤖
U+2B917 	𫤗
U+2B918 	𫤘
U+2B919 	𫤙
U+2B91A 	𫤚
U+2B91B 	𫤛
U+2B91C 	𫤜
U+2B91D 	𫤝
U+2B91E 	𫤞
U+2B91F 	𫤟
U+2B920 	𫤠
U+2B921 	𫤡
U+2B922 	𫤢
U+2B923 	𫤣
U+2B924 	𫤤
U+2B925 	𫤥
U+2B926 	𫤦
U+2B927 	𫤧
U+2B928 	𫤨
U+2B929 	𫤩
U+2B92A 	𫤪
U+2B92B 	𫤫
U+2B92C 	𫤬
U+2B92D 	𫤭
U+2B92E 	𫤮
U+2B92F 	𫤯
U+2B930 	𫤰
U+2B931 	𫤱
U+2B932 	𫤲
U+2B933 	𫤳
U+2B934 	𫤴
U+2B935 	𫤵
U+2B936 	𫤶
U+2B937 	𫤷
U+2B938 	𫤸
U+2B939 	𫤹
U+2B93A 	𫤺
U+2B93B 	𫤻
U+2B93C 	𫤼
U+2B93D 	𫤽
U+2B93E 	𫤾
U+2B93F 	𫤿
U+2B940 	𫥀
U+2B941 	𫥁
U+2B942 	𫥂
U+2B943 	𫥃
U+2B944 	𫥄
U+2B945 	𫥅
U+2B946 	𫥆
U+2B947 	𫥇
U+2B948 	𫥈
U+2B949 	𫥉
U+2B94A 	𫥊
U+2B94B 	𫥋
U+2B94C 	𫥌
U+2B94D 	𫥍
U+2B94E 	𫥎
U+2B94F 	𫥏
U+2B950 	𫥐
U+2B951 	𫥑
U+2B952 	𫥒
U+2B953 	𫥓
U+2B954 	𫥔
U+2B955 	𫥕
U+2B956 	𫥖
U+2B957 	𫥗
U+2B958 	𫥘
U+2B959 	𫥙
U+2B95A 	𫥚
U+2B95B 	𫥛
U+2B95C 	𫥜
U+2B95D 	𫥝
U+2B95E 	𫥞
U+2B95F 	𫥟
U+2B960 	𫥠
U+2B961 	𫥡
