U+2CEB0 	𬺰
U+2CEB1 	𬺱
U+2CEB2 	𬺲
U+2CEB3 	𬺳
U+2CEB4 	𬺴
U+2CEB5 	𬺵
U+2CEB6 	𬺶
U+2CEB7 	𬺷
U+2CEB8 	𬺸
U+2CEB9 	𬺹
U+2CEBA 	𬺺
U+2CEBB 	𬺻
U+2CEBC 	𬺼
U+2CEBD 	𬺽
U+2CEBE 	𬺾
U+2CEBF 	𬺿
U+2CEC0 	𬻀
U+2CEC1 	𬻁
U+2CEC2 	𬻂
U+2CEC3 	𬻃
U+2CEC4 	𬻄
U+2CEC5 	𬻅
U+2CEC6 	𬻆
U+2CEC7 	𬻇
U+2CEC8 	𬻈
U+2CEC9 	𬻉
U+2CECA 	𬻊
U+2CECB 	𬻋
U+2CECC 	𬻌
U+2CECD 	𬻍
U+2CECE 	𬻎
U+2CECF 	𬻏
U+2CED0 	𬻐
U+2CED1 	𬻑
U+2CED2 	𬻒
U+2CED3 	𬻓
U+2CED4 	𬻔
U+2CED5 	𬻕
U+2CED6 	𬻖
U+2CED7 	𬻗
U+2CED8 	𬻘
U+2CED9 	𬻙
U+2CEDA 	𬻚
U+2CEDB 	𬻛
U+2CEDC 	𬻜
U+2CEDD 	𬻝
U+2CEDE 	𬻞
U+2CEDF 	𬻟
U+2CEE0 	𬻠
U+2CEE1 	𬻡
U+2CEE2 	𬻢
U+2CEE3 	𬻣
U+2CEE4 	𬻤
U+2CEE5 	𬻥
U+2CEE6 	𬻦
U+2CEE7 	𬻧
U+2CEE8 	𬻨
U+2CEE9 	𬻩
U+2CEEA 	𬻪
U+2CEEB 	𬻫
U+2CEEC 	𬻬
U+2CEED 	𬻭
U+2CEEE 	𬻮
U+2CEEF 	𬻯
U+2CEF0 	𬻰
U+2CEF1 	𬻱
U+2CEF2 	𬻲
U+2CEF3 	𬻳
U+2CEF4 	𬻴
U+2CEF5 	𬻵
U+2CEF6 	𬻶
U+2CEF7 	𬻷
U+2CEF8 	𬻸
U+2CEF9 	𬻹
U+2CEFA 	𬻺
U+2CEFB 	𬻻
U+2CEFC 	𬻼
U+2CEFD 	𬻽
U+2CEFE 	𬻾
U+2CEFF 	𬻿
U+2CF00 	𬼀
U+2CF01 	𬼁
U+2CF02 	𬼂
U+2CF03 	𬼃
U+2CF04 	𬼄
U+2CF05 	𬼅
U+2CF06 	𬼆
U+2CF07 	𬼇
U+2CF08 	𬼈
U+2CF09 	𬼉
U+2CF0A 	𬼊
U+2CF0B 	𬼋
U+2CF0C 	𬼌
U+2CF0D 	𬼍
U+2CF0E 	𬼎
U+2CF0F 	𬼏
U+2CF10 	𬼐
U+2CF11 	𬼑
U+2CF12 	𬼒
U+2CF13 	𬼓
U+2CF14 	𬼔
U+2CF15 	𬼕
U+2CF16 	&MJ056865;
U+2CF17 	𬼗
U+2CF18 	𬼘
U+2CF19 	𬼙
U+2CF1A 	𬼚
U+2CF1B 	𬼛
U+2CF1C 	𬼜
U+2CF1D 	𬼝
U+2CF1E 	𬼞
U+2CF1F 	𬼟
U+2CF20 	𬼠
U+2CF21 	𬼡
U+2CF22 	𬼢
U+2CF23 	𬼣
U+2CF24 	𬼤
U+2CF25 	𬼥
U+2CF26 	𬼦
U+2CF27 	𬼧
U+2CF28 	𬼨
U+2CF29 	𬼩
U+2CF2A 	𬼪
U+2CF2B 	𬼫
U+2CF2C 	𬼬
U+2CF2D 	𬼭
U+2CF2E 	𬼮
U+2CF2F 	𬼯
U+2CF30 	𬼰
U+2CF31 	𬼱
U+2CF32 	𬼲
U+2CF33 	𬼳
U+2CF34 	𬼴
U+2CF35 	𬼵
U+2CF36 	𬼶
U+2CF37 	𬼷
U+2CF38 	𬼸
U+2CF39 	𬼹
U+2CF3A 	𬼺
U+2CF3B 	𬼻
U+2CF3C 	𬼼
U+2CF3D 	𬼽
U+2CF3E 	𬼾
U+2CF3F 	𬼿
U+2CF40 	𬽀
U+2CF41 	𬽁
U+2CF42 	𬽂
U+2CF43 	𬽃
U+2CF44 	𬽄
U+2CF45 	𬽅
U+2CF46 	𬽆
U+2CF47 	𬽇
U+2CF48 	𬽈
U+2CF49 	𬽉
U+2CF4A 	𬽊
U+2CF4B 	𬽋
U+2CF4C 	𬽌
U+2CF4D 	𬽍
U+2CF4E 	𬽎
U+2CF4F 	𬽏
U+2CF50 	𬽐
U+2CF51 	𬽑
U+2CF52 	𬽒
U+2CF53 	𬽓
U+2CF54 	𬽔
U+2CF55 	𬽕
U+2CF56 	𬽖
U+2CF57 	𬽗
U+2CF58 	𬽘
U+2CF59 	𬽙
U+2CF5A 	𬽚
U+2CF5B 	𬽛
U+2CF5C 	𬽜
U+2CF5D 	𬽝
U+2CF5E 	𬽞
U+2CF5F 	𬽟
U+2CF60 	𬽠
U+2CF61 	𬽡
U+2CF62 	𬽢
U+2CF63 	𬽣
U+2CF64 	𬽤
U+2CF65 	𬽥
U+2CF66 	𬽦
U+2CF67 	𬽧
U+2CF68 	𬽨
U+2CF69 	𬽩
U+2CF6A 	𬽪
U+2CF6B 	𬽫
U+2CF6C 	𬽬
U+2CF6D 	𬽭
U+2CF6E 	𬽮
U+2CF6F 	𬽯
U+2CF70 	𬽰
U+2CF71 	𬽱
U+2CF72 	𬽲
U+2CF73 	𬽳
U+2CF74 	𬽴
U+2CF75 	𬽵
U+2CF76 	𬽶
U+2CF77 	𬽷
U+2CF78 	𬽸
U+2CF79 	𬽹
U+2CF7A 	𬽺
U+2CF7B 	𬽻
U+2CF7C 	𬽼
U+2CF7D 	𬽽
U+2CF7E 	𬽾
U+2CF7F 	𬽿
U+2CF80 	𬾀
U+2CF81 	𬾁
U+2CF82 	𬾂
U+2CF83 	𬾃
U+2CF84 	𬾄
U+2CF85 	𬾅
U+2CF86 	𬾆
U+2CF87 	𬾇
U+2CF88 	𬾈
U+2CF89 	𬾉
U+2CF8A 	𬾊
U+2CF8B 	𬾋
U+2CF8C 	𬾌
U+2CF8D 	𬾍
U+2CF8E 	𬾎
U+2CF8F 	𬾏
U+2CF90 	𬾐
U+2CF91 	𬾑
U+2CF92 	𬾒
U+2CF93 	𬾓
U+2CF94 	𬾔
U+2CF95 	𬾕
U+2CF96 	𬾖
U+2CF97 	𬾗
U+2CF98 	𬾘
U+2CF99 	𬾙
U+2CF9A 	𬾚
U+2CF9B 	𬾛
U+2CF9C 	𬾜
U+2CF9D 	𬾝
U+2CF9E 	𬾞
U+2CF9F 	𬾟
U+2CFA0 	𬾠
U+2CFA1 	𬾡
U+2CFA2 	𬾢
U+2CFA3 	𬾣
U+2CFA4 	𬾤
U+2CFA5 	𬾥
U+2CFA6 	𬾦
U+2CFA7 	𬾧
U+2CFA8 	𬾨
U+2CFA9 	𬾩
U+2CFAA 	𬾪
U+2CFAB 	𬾫
U+2CFAC 	𬾬
U+2CFAD 	𬾭
U+2CFAE 	𬾮
U+2CFAF 	𬾯
U+2CFB0 	𬾰
U+2CFB1 	𬾱
U+2CFB2 	𬾲
U+2CFB3 	𬾳
U+2CFB4 	𬾴
