U+2EBF0	𮯰
U+2EBF1	𮯱
U+2EBF2	𮯲
U+2EBF3	𮯳
U+2EBF4	𮯴
U+2EBF5	𮯵
U+2EBF6	𮯶
U+2EBF7	𮯷
U+2EBF8	𮯸
U+2EBF9	𮯹
U+2EBFA	𮯺
U+2EBFB	𮯻
U+2EBFC	𮯼
U+2EBFD	𮯽
U+2EBFE	𮯾
U+2EBFF	𮯿
U+2EC00	𮰀
U+2EC01	𮰁
U+2EC02	𮰂
U+2EC03	𮰃
U+2EC04	𮰄
U+2EC05	𮰅
U+2EC06	𮰆
U+2EC07	𮰇
U+2EC08	𮰈
U+2EC09	𮰉
U+2EC0A	𮰊
U+2EC0B	𮰋
U+2EC0C	𮰌
U+2EC0D	𮰍
U+2EC0E	𮰎
U+2EC0F	𮰏
U+2EC10	𮰐
U+2EC11	𮰑
U+2EC12	𮰒
U+2EC13	𮰓
U+2EC14	𮰔
U+2EC15	𮰕
U+2EC16	𮰖
U+2EC17	𮰗
U+2EC18	𮰘
U+2EC19	𮰙
U+2EC1A	𮰚
U+2EC1B	𮰛
U+2EC1C	𮰜
U+2EC1D	𮰝
U+2EC1E	𮰞
U+2EC1F	𮰟
U+2EC20	𮰠
U+2EC21	𮰡
U+2EC22	𮰢
U+2EC23	𮰣
U+2EC24	𮰤
U+2EC25	𮰥
U+2EC26	𮰦
U+2EC27	𮰧
U+2EC28	𮰨
U+2EC29	𮰩
U+2EC2A	𮰪
U+2EC2B	𮰫
U+2EC2C	𮰬
U+2EC2D	𮰭
U+2EC2E	𮰮
U+2EC2F	𮰯
U+2EC30	𮰰
U+2EC31	𮰱
U+2EC32	𮰲
U+2EC33	𮰳
U+2EC34	𮰴
U+2EC35	𮰵
U+2EC36	𮰶
U+2EC37	𮰷
U+2EC38	𮰸
U+2EC39	𮰹
U+2EC3A	𮰺
U+2EC3B	𮰻
U+2EC3C	𮰼
U+2EC3D	𮰽
U+2EC3E	𮰾
U+2EC3F	𮰿
U+2EC40	𮱀
U+2EC41	𮱁
U+2EC42	𮱂
U+2EC43	𮱃
U+2EC44	𮱄
U+2EC45	𮱅
U+2EC46	𮱆
U+2EC47	𮱇
U+2EC48	𮱈
U+2EC49	𮱉
U+2EC4A	𮱊
U+2EC4B	𮱋
U+2EC4C	𮱌
U+2EC4D	𮱍
U+2EC4E	𮱎
U+2EC4F	𮱏
U+2EC50	𮱐
U+2EC51	𮱑
U+2EC52	𮱒
U+2EC53	𮱓
U+2EC54	𮱔
U+2EC55	𮱕
U+2EC56	𮱖
U+2EC57	𮱗
U+2EC58	𮱘
U+2EC59	𮱙
U+2EC5A	𮱚
U+2EC5B	𮱛
U+2EC5C	𮱜
U+2EC5D	𮱝
U+2EC5E	𮱞
U+2EC5F	𮱟
U+2EC60	𮱠
U+2EC61	𮱡
U+2EC62	𮱢
U+2EC63	𮱣
U+2EC64	𮱤
U+2EC65	𮱥
U+2EC66	𮱦
U+2EC67	𮱧
U+2EC68	𮱨
U+2EC69	𮱩
U+2EC6A	𮱪
U+2EC6B	𮱫
U+2EC6C	𮱬
U+2EC6D	𮱭
U+2EC6E	𮱮
U+2EC6F	𮱯
U+2EC70	𮱰
U+2EC71	𮱱
U+2EC72	𮱲
U+2EC73	𮱳
U+2EC74	𮱴
U+2EC75	𮱵
U+2EC76	𮱶
U+2EC77	𮱷
U+2EC78	𮱸
U+2EC79	𮱹
U+2EC7A	𮱺
U+2EC7B	𮱻
U+2EC7C	𮱼
U+2EC7D	𮱽
U+2EC7E	𮱾
U+2EC7F	𮱿
U+2EC80	𮲀
U+2EC81	𮲁
U+2EC82	𮲂
U+2EC83	𮲃
U+2EC84	𮲄
U+2EC85	𮲅
U+2EC86	𮲆
U+2EC87	𮲇
U+2EC88	𮲈
U+2EC89	𮲉
U+2EC8A	𮲊
U+2EC8B	𮲋
U+2EC8C	𮲌
U+2EC8D	𮲍
U+2EC8E	𮲎
U+2EC8F	𮲏
U+2EC90	𮲐
U+2EC91	𮲑
U+2EC92	𮲒
U+2EC93	𮲓
U+2EC94	𮲔
U+2EC95	𮲕
U+2EC96	𮲖
U+2EC97	𮲗
U+2EC98	𮲘
U+2EC99	𮲙
U+2EC9A	𮲚
U+2EC9B	𮲛
U+2EC9C	𮲜
U+2EC9D	𮲝
U+2EC9E	𮲞
U+2EC9F	𮲟
U+2ECA0	𮲠
U+2ECA1	𮲡
U+2ECA2	𮲢
U+2ECA3	𮲣
U+2ECA4	𮲤
U+2ECA5	𮲥
U+2ECA6	𮲦
U+2ECA7	𮲧
U+2ECA8	𮲨
U+2ECA9	𮲩
U+2ECAA	𮲪
U+2ECAB	𮲫
U+2ECAC	𮲬
U+2ECAD	𮲭
U+2ECAE	𮲮
U+2ECAF	𮲯
U+2ECB0	𮲰
U+2ECB1	𮲱
U+2ECB2	𮲲
U+2ECB3	𮲳
U+2ECB4	𮲴
U+2ECB5	𮲵
U+2ECB6	𮲶
U+2ECB7	𮲷
U+2ECB8	𮲸
U+2ECB9	𮲹
U+2ECBA	𮲺
U+2ECBB	𮲻
U+2ECBC	𮲼
U+2ECBD	𮲽
U+2ECBE	𮲾
U+2ECBF	𮲿
U+2ECC0	𮳀
U+2ECC1	𮳁
U+2ECC2	𮳂
U+2ECC3	𮳃
U+2ECC4	𮳄
U+2ECC5	𮳅
U+2ECC6	𮳆
U+2ECC7	𮳇
U+2ECC8	𮳈
U+2ECC9	𮳉
U+2ECCA	𮳊
U+2ECCB	𮳋
U+2ECCC	𮳌
U+2ECCD	𮳍
U+2ECCE	𮳎
U+2ECCF	𮳏
U+2ECD0	𮳐
U+2ECD1	𮳑
U+2ECD2	𮳒
U+2ECD3	𮳓
U+2ECD4	𮳔
U+2ECD5	𮳕
U+2ECD6	𮳖
U+2ECD7	𮳗
U+2ECD8	𮳘
U+2ECD9	𮳙
U+2ECDA	𮳚
U+2ECDB	𮳛
U+2ECDC	𮳜
U+2ECDD	𮳝
U+2ECDE	𮳞
U+2ECDF	𮳟
U+2ECE0	𮳠
U+2ECE1	𮳡
U+2ECE2	𮳢
U+2ECE3	𮳣
U+2ECE4	𮳤
U+2ECE5	𮳥
U+2ECE6	𮳦
U+2ECE7	𮳧
U+2ECE8	𮳨
