U+323B0	𲎰
U+323B1	𲎱
U+323B2	𲎲
U+323B3	𲎳
U+323B4	𲎴
U+323B5	𲎵
U+323B6	𲎶
U+323B7	𲎷
U+323B8	𲎸
U+323B9	𲎹
U+323BA	𲎺
U+323BB	𲎻
U+323BC	𲎼
U+323BD	𲎽
U+323BE	𲎾
U+323BF	𲎿
U+323C0	𲏀
U+323C1	𲏁
U+323C2	𲏂
U+323C3	𲏃
U+323C4	𲏄
U+323C5	𲏅
U+323C6	𲏆
U+323C7	𲏇
U+323C8	𲏈
U+323C9	𲏉
U+323CA	𲏊
U+323CB	𲏋
U+323CC	𲏌
U+323CD	𲏍
U+323CE	𲏎
U+323CF	𲏏
U+323D0	𲏐
U+323D1	𲏑
U+323D2	𲏒
U+323D3	𲏓
U+323D4	𲏔
U+323D5	𲏕
U+323D6	𲏖
U+323D7	𲏗
U+323D8	𲏘
U+323D9	𲏙
U+323DA	𲏚
U+323DB	𲏛
U+323DC	𲏜
U+323DD	𲏝
U+323DE	𲏞
U+323DF	𲏟
U+323E0	𲏠
U+323E1	𲏡
U+323E2	𲏢
U+323E3	𲏣
U+323E4	𲏤
U+323E5	𲏥
U+323E6	𲏦
U+323E7	𲏧
U+323E8	𲏨
U+323E9	𲏩
U+323EA	𲏪
U+323EB	𲏫
U+323EC	𲏬
U+323ED	𲏭
U+323EE	𲏮
U+323EF	𲏯
U+323F0	𲏰
U+323F1	𲏱
U+323F2	𲏲
U+323F3	𲏳
U+323F4	𲏴
U+323F5	𲏵
U+323F6	𲏶
U+323F7	𲏷
U+323F8	𲏸
U+323F9	𲏹
U+323FA	𲏺
U+323FB	𲏻
U+323FC	𲏼
U+323FD	𲏽
U+323FE	𲏾
U+323FF	𲏿
U+32400	𲐀
U+32401	𲐁
U+32402	𲐂
U+32403	𲐃
U+32404	𲐄
U+32405	𲐅
U+32406	𲐆
U+32407	𲐇
U+32408	𲐈
U+32409	𲐉
U+3240A	𲐊
U+3240B	𲐋
U+3240C	𲐌
U+3240D	𲐍
U+3240E	𲐎
U+3240F	𲐏
U+32410	𲐐
U+32411	𲐑
U+32412	𲐒
U+32413	𲐓
U+32414	𲐔
U+32415	𲐕
U+32416	𲐖
U+32417	𲐗
U+32418	𲐘
U+32419	𲐙
U+3241A	𲐚
U+3241B	𲐛
U+3241C	𲐜
U+3241D	𲐝
U+3241E	𲐞
U+3241F	𲐟
U+32420	𲐠
U+32421	𲐡
U+32422	𲐢
U+32423	𲐣
U+32424	𲐤
U+32425	𲐥
U+32426	𲐦
U+32427	𲐧
U+32428	𲐨
U+32429	𲐩
U+3242A	𲐪
U+3242B	𲐫
U+3242C	𲐬
U+3242D	𲐭
U+3242E	𲐮
U+3242F	𲐯
U+32430	𲐰
U+32431	𲐱
U+32432	𲐲
U+32433	𲐳
U+32434	𲐴
U+32435	𲐵
U+32436	𲐶
U+32437	𲐷
U+32438	𲐸
U+32439	𲐹
U+3243A	𲐺
U+3243B	𲐻
U+3243C	𲐼
U+3243D	𲐽
U+3243E	𲐾
U+3243F	𲐿
U+32440	𲑀
U+32441	𲑁
U+32442	𲑂
U+32443	𲑃
U+32444	𲑄
U+32445	𲑅
U+32446	𲑆
U+32447	𲑇
U+32448	𲑈
U+32449	𲑉
U+3244A	𲑊
U+3244B	𲑋
U+3244C	𲑌
U+3244D	𲑍
U+3244E	𲑎
U+3244F	𲑏
U+32450	𲑐
U+32451	𲑑
U+32452	𲑒
U+32453	𲑓
U+32454	𲑔
U+32455	𲑕
U+32456	𲑖
U+32457	𲑗
U+32458	𲑘
U+32459	𲑙
U+3245A	𲑚
U+3245B	𲑛
U+3245C	𲑜
U+3245D	𲑝
U+3245E	𲑞
U+3245F	𲑟
U+32460	𲑠
U+32461	𲑡
U+32462	𲑢
U+32463	𲑣
U+32464	𲑤
U+32465	𲑥
U+32466	𲑦
U+32467	𲑧
U+32468	𲑨
U+32469	𲑩
U+3246A	𲑪
U+3246B	𲑫
U+3246C	𲑬
U+3246D	𲑭
U+3246E	𲑮
U+3246F	𲑯
U+32470	𲑰
U+32471	𲑱
U+32472	𲑲
U+32473	𲑳
U+32474	𲑴
U+32475	𲑵
U+32476	𲑶
U+32477	𲑷
U+32478	𲑸
U+32479	𲑹
U+3247A	𲑺
U+3247B	𲑻
U+3247C	𲑼
U+3247D	𲑽
U+3247E	𲑾
U+3247F	𲑿
U+32480	𲒀
U+32481	𲒁
U+32482	𲒂
U+32483	𲒃
U+32484	𲒄
U+32485	𲒅
U+32486	𲒆
U+32487	𲒇
U+32488	𲒈
U+32489	𲒉
U+3248A	𲒊
U+3248B	𲒋
U+3248C	𲒌
U+3248D	𲒍
U+3248E	𲒎
U+3248F	𲒏
U+32490	𲒐
U+32491	𲒑
U+32492	𲒒
U+32493	𲒓
U+32494	𲒔
U+32495	𲒕
U+32496	𲒖
U+32497	𲒗
U+32498	𲒘
U+32499	𲒙
U+3249A	𲒚
U+3249B	𲒛
U+3249C	𲒜
U+3249D	𲒝
U+3249E	𲒞
U+3249F	𲒟
U+324A0	𲒠
U+324A1	𲒡
U+324A2	𲒢
U+324A3	𲒣
U+324A4	𲒤
U+324A5	𲒥
U+324A6	𲒦
U+324A7	𲒧
U+324A8	𲒨
U+324A9	𲒩
U+324AA	𲒪
U+324AB	𲒫
U+324AC	𲒬
U+324AD	𲒭
U+324AE	𲒮
U+324AF	𲒯
U+324B0	𲒰
U+324B1	𲒱
U+324B2	𲒲
U+324B3	𲒳
U+324B4	𲒴
U+324B5	𲒵
U+324B6	𲒶
U+324B7	𲒷
U+324B8	𲒸
U+324B9	𲒹
U+324BA	𲒺
U+324BB	𲒻
U+324BC	𲒼
U+324BD	𲒽
U+324BE	𲒾
U+324BF	𲒿
U+324C0	𲓀
U+324C1	𲓁
U+324C2	𲓂
U+324C3	𲓃
U+324C4	𲓄
U+324C5	𲓅
U+324C6	𲓆
U+324C7	𲓇
U+324C8	𲓈
U+324C9	𲓉
U+324CA	𲓊
U+324CB	𲓋
U+324CC	𲓌
U+324CD	𲓍
U+324CE	𲓎
U+324CF	𲓏
U+324D0	𲓐
U+324D1	𲓑
U+324D2	𲓒
U+324D3	𲓓
U+324D4	𲓔
U+324D5	𲓕
U+324D6	𲓖
U+324D7	𲓗
U+324D8	𲓘
U+324D9	𲓙
U+324DA	𲓚
U+324DB	𲓛
U+324DC	𲓜
U+324DD	𲓝
U+324DE	𲓞
U+324DF	𲓟
U+324E0	𲓠
U+324E1	𲓡
U+324E2	𲓢
U+324E3	𲓣
U+324E4	𲓤
U+324E5	𲓥
U+324E6	𲓦
U+324E7	𲓧
U+324E8	𲓨
U+324E9	𲓩
U+324EA	𲓪
U+324EB	𲓫
U+324EC	𲓬
U+324ED	𲓭
U+324EE	𲓮
U+324EF	𲓯
U+324F0	𲓰
U+324F1	𲓱
U+324F2	𲓲
U+324F3	𲓳
U+324F4	𲓴
U+324F5	𲓵
U+324F6	𲓶
U+324F7	𲓷
U+324F8	𲓸
U+324F9	𲓹
U+324FA	𲓺
U+324FB	𲓻
U+324FC	𲓼
U+324FD	𲓽
U+324FE	𲓾
U+324FF	𲓿
U+32500	𲔀
U+32501	𲔁
U+32502	𲔂
U+32503	𲔃
U+32504	𲔄
U+32505	𲔅
U+32506	𲔆
U+32507	𲔇
U+32508	𲔈
U+32509	𲔉
U+3250A	𲔊
U+3250B	𲔋
U+3250C	𲔌
U+3250D	𲔍
U+3250E	𲔎
U+3250F	𲔏
U+32510	𲔐
U+32511	𲔑
U+32512	𲔒
U+32513	𲔓
U+32514	𲔔
U+32515	𲔕
U+32516	𲔖
U+32517	𲔗
U+32518	𲔘
U+32519	𲔙
U+3251A	𲔚
U+3251B	𲔛
U+3251C	𲔜
U+3251D	𲔝
U+3251E	𲔞
U+3251F	𲔟
U+32520	𲔠
U+32521	𲔡
U+32522	𲔢
U+32523	𲔣
U+32524	𲔤
U+32525	𲔥
U+32526	𲔦
U+32527	𲔧
U+32528	𲔨
U+32529	𲔩
U+3252A	𲔪
U+3252B	𲔫
U+3252C	𲔬
U+3252D	𲔭
U+3252E	𲔮
U+3252F	𲔯
U+32530	𲔰
U+32531	𲔱
U+32532	𲔲
U+32533	𲔳
U+32534	𲔴
U+32535	𲔵
U+32536	𲔶
U+32537	𲔷
U+32538	𲔸
U+32539	𲔹
U+3253A	𲔺
U+3253B	𲔻
U+3253C	𲔼
U+3253D	𲔽
U+3253E	𲔾
U+3253F	𲔿
U+32540	𲕀
U+32541	𲕁
U+32542	𲕂
U+32543	𲕃
U+32544	𲕄
U+32545	𲕅
U+32546	𲕆
U+32547	𲕇
U+32548	𲕈
U+32549	𲕉
U+3254A	𲕊
U+3254B	𲕋
U+3254C	𲕌
U+3254D	𲕍
U+3254E	𲕎
U+3254F	𲕏
U+32550	𲕐
U+32551	𲕑
U+32552	𲕒
U+32553	𲕓
U+32554	𲕔
U+32555	𲕕
U+32556	𲕖
U+32557	𲕗
U+32558	𲕘
U+32559	𲕙
U+3255A	𲕚
U+3255B	𲕛
U+3255C	𲕜
U+3255D	𲕝
U+3255E	𲕞
U+3255F	𲕟
U+32560	𲕠
U+32561	𲕡
U+32562	𲕢
U+32563	𲕣
U+32564	𲕤
U+32565	𲕥
U+32566	𲕦
U+32567	𲕧
U+32568	𲕨
U+32569	𲕩
U+3256A	𲕪
U+3256B	𲕫
U+3256C	𲕬
U+3256D	𲕭
U+3256E	𲕮
U+3256F	𲕯
U+32570	𲕰
U+32571	𲕱
U+32572	𲕲
U+32573	𲕳
U+32574	𲕴
U+32575	𲕵
U+32576	𲕶
U+32577	𲕷
U+32578	𲕸
U+32579	𲕹
U+3257A	𲕺
U+3257B	𲕻
U+3257C	𲕼
U+3257D	𲕽
U+3257E	𲕾
U+3257F	𲕿
U+32580	𲖀
U+32581	𲖁
U+32582	𲖂
U+32583	𲖃
U+32584	𲖄
U+32585	𲖅
U+32586	𲖆
U+32587	𲖇
U+32588	𲖈
U+32589	𲖉
U+3258A	𲖊
U+3258B	𲖋
U+3258C	𲖌
U+3258D	𲖍
U+3258E	𲖎
U+3258F	𲖏
U+32590	𲖐
U+32591	𲖑
U+32592	𲖒
U+32593	𲖓
U+32594	𲖔
U+32595	𲖕
U+32596	𲖖
U+32597	𲖗
U+32598	𲖘
U+32599	𲖙
U+3259A	𲖚
U+3259B	𲖛
U+3259C	𲖜
U+3259D	𲖝
U+3259E	𲖞
U+3259F	𲖟
U+325A0	𲖠
U+325A1	𲖡
U+325A2	𲖢
U+325A3	𲖣
U+325A4	𲖤
U+325A5	𲖥
U+325A6	𲖦
U+325A7	𲖧
U+325A8	𲖨
U+325A9	𲖩
U+325AA	𲖪
U+325AB	𲖫
U+325AC	𲖬
U+325AD	𲖭
U+325AE	𲖮
U+325AF	𲖯
U+325B0	𲖰
U+325B1	𲖱
U+325B2	𲖲
U+325B3	𲖳
U+325B4	𲖴
U+325B5	𲖵
U+325B6	𲖶
U+325B7	𲖷
U+325B8	𲖸
U+325B9	𲖹
U+325BA	𲖺
U+325BB	𲖻
U+325BC	𲖼
U+325BD	𲖽
U+325BE	𲖾
U+325BF	𲖿
U+325C0	𲗀
U+325C1	𲗁
U+325C2	𲗂
U+325C3	𲗃
U+325C4	𲗄
U+325C5	𲗅
U+325C6	𲗆
U+325C7	𲗇
U+325C8	𲗈
U+325C9	𲗉
U+325CA	𲗊
U+325CB	𲗋
U+325CC	𲗌
U+325CD	𲗍
U+325CE	𲗎
U+325CF	𲗏
U+325D0	𲗐
U+325D1	𲗑
U+325D2	𲗒
U+325D3	𲗓
U+325D4	𲗔
U+325D5	𲗕
U+325D6	𲗖
U+325D7	𲗗
U+325D8	𲗘
U+325D9	𲗙
U+325DA	𲗚
U+325DB	𲗛
U+325DC	𲗜
U+325DD	𲗝
U+325DE	𲗞
U+325DF	𲗟
U+325E0	𲗠
U+325E1	𲗡
U+325E2	𲗢
U+325E3	𲗣
U+325E4	𲗤
U+325E5	𲗥
U+325E6	𲗦
U+325E7	𲗧
U+325E8	𲗨
U+325E9	𲗩
U+325EA	𲗪
U+325EB	𲗫
U+325EC	𲗬
U+325ED	𲗭
U+325EE	𲗮
U+325EF	𲗯
U+325F0	𲗰
U+325F1	𲗱
U+325F2	𲗲
U+325F3	𲗳
U+325F4	𲗴
U+325F5	𲗵
U+325F6	𲗶
U+325F7	𲗷
U+325F8	𲗸
U+325F9	𲗹
U+325FA	𲗺
U+325FB	𲗻
U+325FC	𲗼
U+325FD	𲗽
U+325FE	𲗾
U+325FF	𲗿
U+32600	𲘀
U+32601	𲘁
U+32602	𲘂
U+32603	𲘃
U+32604	𲘄
U+32605	𲘅
U+32606	𲘆
U+32607	𲘇
U+32608	𲘈
U+32609	𲘉
U+3260A	𲘊
U+3260B	𲘋
U+3260C	𲘌
U+3260D	𲘍
U+3260E	𲘎
U+3260F	𲘏
U+32610	𲘐
U+32611	𲘑
U+32612	𲘒
U+32613	𲘓
U+32614	𲘔
U+32615	𲘕
U+32616	𲘖
U+32617	𲘗
U+32618	𲘘
U+32619	𲘙
U+3261A	𲘚
U+3261B	𲘛
U+3261C	𲘜
U+3261D	𲘝
U+3261E	𲘞
U+3261F	𲘟
U+32620	𲘠
U+32621	𲘡
U+32622	𲘢
U+32623	𲘣
U+32624	𲘤
U+32625	𲘥
U+32626	𲘦
U+32627	𲘧
U+32628	𲘨
U+32629	𲘩
U+3262A	𲘪
U+3262B	𲘫
U+3262C	𲘬
U+3262D	𲘭
U+3262E	𲘮
U+3262F	𲘯
U+32630	𲘰
U+32631	𲘱
U+32632	𲘲
U+32633	𲘳
U+32634	𲘴
U+32635	𲘵
U+32636	𲘶
U+32637	𲘷
U+32638	𲘸
U+32639	𲘹
U+3263A	𲘺
U+3263B	𲘻
U+3263C	𲘼
U+3263D	𲘽
U+3263E	𲘾
U+3263F	𲘿
U+32640	𲙀
U+32641	𲙁
U+32642	𲙂
U+32643	𲙃
U+32644	𲙄
U+32645	𲙅
U+32646	𲙆
U+32647	𲙇
U+32648	𲙈
U+32649	𲙉
U+3264A	𲙊
U+3264B	𲙋
U+3264C	𲙌
U+3264D	𲙍
U+3264E	𲙎
U+3264F	𲙏
U+32650	𲙐
U+32651	𲙑
U+32652	𲙒
U+32653	𲙓
U+32654	𲙔
U+32655	𲙕
U+32656	𲙖
U+32657	𲙗
U+32658	𲙘
U+32659	𲙙
U+3265A	𲙚
U+3265B	𲙛
U+3265C	𲙜
U+3265D	𲙝
U+3265E	𲙞
U+3265F	𲙟
U+32660	𲙠
U+32661	𲙡
U+32662	𲙢
U+32663	𲙣
U+32664	𲙤
U+32665	𲙥
U+32666	𲙦
U+32667	𲙧
U+32668	𲙨
U+32669	𲙩
U+3266A	𲙪
U+3266B	𲙫
U+3266C	𲙬
U+3266D	𲙭
U+3266E	𲙮
U+3266F	𲙯
U+32670	𲙰
U+32671	𲙱
U+32672	𲙲
U+32673	𲙳
U+32674	𲙴
U+32675	𲙵
U+32676	𲙶
U+32677	𲙷
U+32678	𲙸
U+32679	𲙹
U+3267A	𲙺
U+3267B	𲙻
U+3267C	𲙼
U+3267D	𲙽
U+3267E	𲙾
U+3267F	𲙿
U+32680	𲚀
U+32681	𲚁
U+32682	𲚂
U+32683	𲚃
U+32684	𲚄
U+32685	𲚅
U+32686	𲚆
U+32687	𲚇
U+32688	𲚈
U+32689	𲚉
U+3268A	𲚊
U+3268B	𲚋
U+3268C	𲚌
U+3268D	𲚍
U+3268E	𲚎
U+3268F	𲚏
U+32690	𲚐
U+32691	𲚑
U+32692	𲚒
U+32693	𲚓
U+32694	𲚔
U+32695	𲚕
U+32696	𲚖
U+32697	𲚗
U+32698	𲚘
U+32699	𲚙
U+3269A	𲚚
U+3269B	𲚛
U+3269C	𲚜
U+3269D	𲚝
U+3269E	𲚞
U+3269F	𲚟
U+326A0	𲚠
U+326A1	𲚡
U+326A2	𲚢
U+326A3	𲚣
U+326A4	𲚤
U+326A5	𲚥
U+326A6	𲚦
U+326A7	𲚧
U+326A8	𲚨
U+326A9	𲚩
U+326AA	𲚪
U+326AB	𲚫
U+326AC	𲚬
U+326AD	𲚭
U+326AE	𲚮
U+326AF	𲚯
U+326B0	𲚰
U+326B1	𲚱
U+326B2	𲚲
U+326B3	𲚳
U+326B4	𲚴
U+326B5	𲚵
U+326B6	𲚶
U+326B7	𲚷
U+326B8	𲚸
U+326B9	𲚹
U+326BA	𲚺
U+326BB	𲚻
U+326BC	𲚼
U+326BD	𲚽
U+326BE	𲚾
U+326BF	𲚿
U+326C0	𲛀
U+326C1	𲛁
U+326C2	𲛂
U+326C3	𲛃
U+326C4	𲛄
U+326C5	𲛅
U+326C6	𲛆
U+326C7	𲛇
U+326C8	𲛈
U+326C9	𲛉
U+326CA	𲛊
U+326CB	𲛋
U+326CC	𲛌
U+326CD	𲛍
U+326CE	𲛎
U+326CF	𲛏
U+326D0	𲛐
U+326D1	𲛑
U+326D2	𲛒
U+326D3	𲛓
U+326D4	𲛔
U+326D5	𲛕
U+326D6	𲛖
U+326D7	𲛗
U+326D8	𲛘
U+326D9	𲛙
U+326DA	𲛚
U+326DB	𲛛
U+326DC	𲛜
U+326DD	𲛝
U+326DE	𲛞
U+326DF	𲛟
U+326E0	𲛠
U+326E1	𲛡
U+326E2	𲛢
U+326E3	𲛣
U+326E4	𲛤
U+326E5	𲛥
U+326E6	𲛦
U+326E7	𲛧
U+326E8	𲛨
U+326E9	𲛩
U+326EA	𲛪
U+326EB	𲛫
U+326EC	𲛬
U+326ED	𲛭
U+326EE	𲛮
U+326EF	𲛯
U+326F0	𲛰
U+326F1	𲛱
U+326F2	𲛲
U+326F3	𲛳
U+326F4	𲛴
U+326F5	𲛵
U+326F6	𲛶
U+326F7	𲛷
U+326F8	𲛸
U+326F9	𲛹
U+326FA	𲛺
U+326FB	𲛻
U+326FC	𲛼
U+326FD	𲛽
U+326FE	𲛾
U+326FF	𲛿
U+32700	𲜀
U+32701	𲜁
U+32702	𲜂
U+32703	𲜃
U+32704	𲜄
U+32705	𲜅
U+32706	𲜆
U+32707	𲜇
U+32708	𲜈
U+32709	𲜉
U+3270A	𲜊
U+3270B	𲜋
U+3270C	𲜌
U+3270D	𲜍
U+3270E	𲜎
U+3270F	𲜏
U+32710	𲜐
U+32711	𲜑
U+32712	𲜒
U+32713	𲜓
U+32714	𲜔
U+32715	𲜕
U+32716	𲜖
U+32717	𲜗
U+32718	𲜘
U+32719	𲜙
U+3271A	𲜚
U+3271B	𲜛
U+3271C	𲜜
U+3271D	𲜝
U+3271E	𲜞
U+3271F	𲜟
U+32720	𲜠
U+32721	𲜡
U+32722	𲜢
U+32723	𲜣
U+32724	𲜤
U+32725	𲜥
U+32726	𲜦
U+32727	𲜧
U+32728	𲜨
U+32729	𲜩
U+3272A	𲜪
U+3272B	𲜫
U+3272C	𲜬
U+3272D	𲜭
U+3272E	𲜮
U+3272F	𲜯
U+32730	𲜰
U+32731	𲜱
U+32732	𲜲
U+32733	𲜳
U+32734	𲜴
U+32735	𲜵
U+32736	𲜶
U+32737	𲜷
U+32738	𲜸
U+32739	𲜹
U+3273A	𲜺
U+3273B	𲜻
U+3273C	𲜼
U+3273D	𲜽
U+3273E	𲜾
U+3273F	𲜿
U+32740	𲝀
U+32741	𲝁
U+32742	𲝂
U+32743	𲝃
U+32744	𲝄
U+32745	𲝅
U+32746	𲝆
U+32747	𲝇
U+32748	𲝈
U+32749	𲝉
U+3274A	𲝊
U+3274B	𲝋
U+3274C	𲝌
U+3274D	𲝍
U+3274E	𲝎
U+3274F	𲝏
U+32750	𲝐
U+32751	𲝑
U+32752	𲝒
U+32753	𲝓
U+32754	𲝔
U+32755	𲝕
U+32756	𲝖
U+32757	𲝗
U+32758	𲝘
U+32759	𲝙
U+3275A	𲝚
U+3275B	𲝛
U+3275C	𲝜
U+3275D	𲝝
U+3275E	𲝞
U+3275F	𲝟
U+32760	𲝠
U+32761	𲝡
U+32762	𲝢
U+32763	𲝣
U+32764	𲝤
U+32765	𲝥
U+32766	𲝦
U+32767	𲝧
U+32768	𲝨
U+32769	𲝩
U+3276A	𲝪
U+3276B	𲝫
U+3276C	𲝬
U+3276D	𲝭
U+3276E	𲝮
U+3276F	𲝯
U+32770	𲝰
U+32771	𲝱
U+32772	𲝲
U+32773	𲝳
U+32774	𲝴
U+32775	𲝵
U+32776	𲝶
U+32777	𲝷
U+32778	𲝸
U+32779	𲝹
U+3277A	𲝺
U+3277B	𲝻
U+3277C	𲝼
U+3277D	𲝽
U+3277E	𲝾
U+3277F	𲝿
U+32780	𲞀
